territory_code	cd_nom	revised_conservation_priority	revision_date
PACA	117096	2	2017-01-01
PACA	117146	2	2017-01-01
PACA	117156	2	2017-01-01
PACA	139772	2	2017-01-01
PACA	117221	2	2017-01-01
PACA	117224	2	2017-01-01
PACA	117268	2	2017-01-01
PACA	139852	2	2017-01-01
PACA	117573	2	2017-01-01
PACA	612262	2	2017-01-01
PACA	612556	2	2017-01-01
PACA	117921	2	2017-01-01
PACA	117933	2	2017-01-01
PACA	117944	2	2017-01-01
PACA	118877	2	2017-01-01
PACA	140386	2	2017-01-01
PACA	119579	2	2017-01-01
PACA	119710	2	2017-01-01
PACA	140410	2	2017-01-01
PACA	119831	2	2017-01-01
PACA	119860	2	2017-01-01
PACA	611570	2	2017-01-01
PACA	121012	2	2017-01-01
PACA	121035	2	2017-01-01
PACA	121054	2	2017-01-01
PACA	121120	2	2017-01-01
PACA	121144	2	2017-01-01
PACA	121205	2	2017-01-01
PACA	121455	2	2017-01-01
PACA	619065	2	2017-01-01
PACA	121549	2	2017-01-01
PACA	121550	2	2017-01-01
PACA	121552	2	2017-01-01
PACA	121553	2	2017-01-01
PACA	121556	2	2017-01-01
PACA	121570	2	2017-01-01
PACA	611922	2	2017-01-01
PACA	121902	2	2017-01-01
PACA	121937	2	2017-01-01
PACA	121971	2	2017-01-01
PACA	121999	2	2017-01-01
PACA	122029	2	2017-01-01
PACA	122069	2	2017-01-01
PACA	122163	2	2017-01-01
PACA	122195	2	2017-01-01
PACA	122209	2	2017-01-01
PACA	122215	2	2017-01-01
PACA	612569	2	2017-01-01
PACA	122819	2	2017-01-01
PACA	122830	2	2017-01-01
PACA	122836	2	2017-01-01
PACA	123102	2	2017-01-01
PACA	141090	2	2017-01-01
PACA	123425	2	2017-01-01
PACA	123450	2	2017-01-01
PACA	123507	2	2017-01-01
PACA	123557	2	2017-01-01
PACA	123597	2	2017-01-01
PACA	123632	2	2017-01-01
PACA	123669	2	2017-01-01
PACA	123708	2	2017-01-01
PACA	123773	2	2017-01-01
PACA	123785	2	2017-01-01
PACA	123960	2	2017-01-01
PACA	612649	2	2017-01-01
PACA	124150	2	2017-01-01
PACA	124407	2	2017-01-01
PACA	124412	2	2017-01-01
PACA	717557	2	2017-01-01
PACA	124504	2	2017-01-01
PACA	717561	2	2017-01-01
PACA	124534	2	2017-01-01
PACA	717568	2	2017-01-01
PACA	124707	2	2017-01-01
PACA	124753	2	2017-01-01
PACA	124775	2	2017-01-01
PACA	124796	2	2017-01-01
PACA	124798	2	2017-01-01
PACA	125120	2	2017-01-01
PACA	888838	2	2017-01-01
PACA	125247	2	2017-01-01
PACA	125312	2	2017-01-01
PACA	125343	2	2017-01-01
PACA	125412	2	2017-01-01
PACA	126006	2	2017-01-01
PACA	126124	2	2017-01-01
PACA	126150	2	2017-01-01
PACA	126276	2	2017-01-01
PACA	141648	2	2017-01-01
PACA	126469	2	2017-01-01
PACA	160395	2	2017-01-01
PACA	126478	2	2017-01-01
PACA	141692	2	2017-01-01
PACA	127266	2	2017-01-01
PACA	127291	2	2017-01-01
PACA	127333	2	2017-01-01
PACA	127387	2	2017-01-01
PACA	127429	2	2017-01-01
PACA	127457	2	2017-01-01
PACA	127469	2	2017-01-01
PACA	160269	2	2017-01-01
PACA	127496	2	2017-01-01
PACA	127537	2	2017-01-01
PACA	717686	2	2017-01-01
PACA	612580	2	2017-01-01
PACA	127638	2	2017-01-01
PACA	141953	2	2017-01-01
PACA	127988	2	2017-01-01
PACA	128062	2	2017-01-01
PACA	128078	2	2017-01-01
PACA	128084	2	2017-01-01
PACA	128127	2	2017-01-01
PACA	128285	2	2017-01-01
PACA	128307	2	2017-01-01
PACA	128315	2	2017-01-01
PACA	128322	2	2017-01-01
PACA	128469	2	2017-01-01
PACA	128504	2	2017-01-01
PACA	128512	2	2017-01-01
PACA	128518	2	2017-01-01
PACA	128567	2	2017-01-01
PACA	142111	2	2017-01-01
PACA	128793	2	2017-01-01
PACA	128924	2	2017-01-01
PACA	129000	2	2017-01-01
PACA	129031	2	2017-01-01
PACA	129032	2	2017-01-01
PACA	129102	2	2017-01-01
PACA	129124	2	2017-01-01
PACA	129150	2	2017-01-01
PACA	129157	2	2017-01-01
PACA	129165	2	2017-01-01
