territory_code	cd_nom	revised_conservation_priority	revision_date
38	120951	3	2019-01-01
38	121124	3	2019-01-01
38	121174	3	2019-01-01
38	121329	3	2019-01-01
38	121500	3	2019-01-01
38	121552	2	2019-01-01
38	121554	3	2019-01-01
38	121556	2	2019-01-01
38	121570	2	2019-01-01
38	121860	3	2019-01-01
38	123669	2	2019-01-01
38	123789	3	2019-01-01
38	123899	3	2019-01-01
38	124412	2	2019-01-01
38	124699	3	2019-01-01
38	125173	3	2019-01-01
38	126213	3	2019-01-01
38	127191	3	2019-01-01
38	127195	3	2019-01-01
38	127457	2	2019-01-01
38	127469	2	2019-01-01
38	128084	2	2019-01-01
38	128315	2	2019-01-01
38	128330	3	2019-01-01
38	128347	3	2019-01-01
38	129275	3	2019-01-01
38	129643	3	2019-01-01
38	129898	3	2019-01-01
38	131826	3	2019-01-01
38	133172	3	2019-01-01
38	137017	3	2019-01-01
38	138126	3	2019-01-01
38	138235	1	2019-01-01
38	138241	1	2019-01-01
38	138547	3	2019-01-01
38	138815	3	2019-01-01
38	138817	3	2019-01-01
38	139765	3	2019-01-01
38	139818	3	2019-01-01
38	141033	3	2019-01-01
38	142006	1	2019-01-01
38	150460	3	2019-01-01
38	159499	3	2019-01-01
38	161860	3	2019-01-01
38	521629	3	2019-01-01
38	610910	2	2019-01-01
38	611038	3	2019-01-01
38	611983	3	2019-01-01
38	717572	3	2019-01-01
38	717746	3	2019-01-01
38	718211	3	2019-01-01
38	718375	3	2019-01-01
38	718376	3	2019-01-01
38	811241	3	2019-01-01
38	888128	2	2019-01-01
73	79914	3	2019-01-01
73	79939	3	2019-01-01
73	80224	3	2019-01-01
73	81096	3	2019-01-01
73	81098	3	2019-01-01
73	81316	2	2019-01-01
73	81347	3	2019-01-01
73	82282	3	2019-01-01
73	82286	2	2019-01-01
73	82420	3	2019-01-01
73	82478	3	2019-01-01
73	82535	3	2019-01-01
73	82619	2	2019-01-01
73	83607	3	2019-01-01
73	83945	2	2019-01-01
73	83951	3	2019-01-01
73	84817	3	2019-01-01
73	84839	3	2019-01-01
73	84859	3	2019-01-01
73	85486	2	2019-01-01
73	86199	3	2019-01-01
73	87136	2	2019-01-01
73	87218	3	2019-01-01
73	87275	3	2019-01-01
73	87613	3	2019-01-01
73	87897	3	2019-01-01
73	88344	3	2019-01-01
73	88360	3	2019-01-01
73	88380	3	2019-01-01
73	88386	3	2019-01-01
73	88391	3	2019-01-01
73	88400	3	2019-01-01
73	88468	2	2019-01-01
73	88472	3	2019-01-01
73	88508	3	2019-01-01
73	88606	3	2019-01-01
73	88662	3	2019-01-01
73	88675	3	2019-01-01
73	88693	3	2019-01-01
73	88762	3	2019-01-01
73	88893	3	2019-01-01
73	88932	3	2019-01-01
73	89149	3	2019-01-01
73	89316	3	2019-01-01
73	90046	3	2019-01-01
73	91346	3	2019-01-01
73	93112	3	2019-01-01
73	93122	3	2019-01-01
73	93830	3	2019-01-01
73	93929	2	2019-01-01
73	94068	3	2019-01-01
73	94449	2	2019-01-01
73	94833	3	2019-01-01
73	95368	3	2019-01-01
73	95398	3	2019-01-01
73	95439	3	2019-01-01
73	96469	3	2019-01-01
73	96664	3	2019-01-01
73	96742	3	2019-01-01
73	96851	3	2019-01-01
73	97133	3	2019-01-01
73	98060	3	2019-01-01
73	99165	3	2019-01-01
73	99922	2	2019-01-01
73	99951	3	2019-01-01
73	99988	3	2019-01-01
73	100702	3	2019-01-01
73	100824	2	2019-01-01
73	102870	2	2019-01-01
73	102930	3	2019-01-01
73	102990	3	2019-01-01
73	103027	3	2019-01-01
73	103120	2	2019-01-01
73	103383	3	2019-01-01
73	103768	3	2019-01-01
